,X,y
0,3.75,17.81
1,9.51,41.34
2,7.32,32.25
3,5.99,25.79
4,1.56,10.38
5,1.56,9.99
6,0.58,6.11
7,8.66,36.73
8,6.01,28.44
9,7.08,29.92
10,0.21,4.43
11,9.7,43.99
12,8.32,35.29
13,2.12,10.91
14,1.82,10.38
15,1.83,9.82
16,3.04,13.61
17,5.25,24.07
18,4.32,19.22
19,2.91,15.11
20,6.12,26.56
21,1.39,10.11
22,2.92,13.9
23,3.66,17.32
24,4.56,22.05
25,7.85,33.17
26,2.0,11.23
27,5.14,24.87
28,5.92,25.07
29,0.46,5.02
30,6.08,27.58
31,1.71,10.62
32,0.65,4.36
33,9.49,39.64
34,9.66,42.16
35,8.08,35.62
36,3.05,15.45
37,0.98,7.27
38,6.84,29.68
39,4.4,20.83
40,1.22,8.17
41,4.95,22.09
42,0.34,6.23
43,9.09,39.83
44,2.59,12.17
45,6.63,30.18
46,3.12,14.51
47,5.2,24.59
48,5.47,26.04
49,1.85,9.58
50,9.7,42.76
51,7.75,34.41
52,9.39,41.38
53,8.95,40.7
54,5.98,26.67
55,9.22,39.13
56,0.88,5.63
57,1.96,10.02
58,0.45,4.72
59,3.25,16.34
60,3.89,18.84
61,2.71,14.67
62,8.29,36.17
63,3.57,18.73
64,2.81,13.98
65,5.43,27.44
66,1.41,9.27
67,8.02,34.22
68,0.75,4.93
69,9.87,42.96
70,7.72,33.66
71,1.99,11.67
72,0.06,3.71
73,8.15,35.53
74,7.07,30.43
75,7.29,30.65
76,7.71,33.39
77,0.74,6.82
78,3.58,17.53
79,1.16,6.39
80,8.63,37.69
81,6.23,28.31
82,3.31,15.36
83,0.64,5.71
84,3.11,15.5
85,3.25,14.86
86,7.3,32.56
87,6.38,29.08
88,8.87,39.56
89,4.72,22.93
90,1.2,6.42
91,7.13,30.58
92,7.61,33.96
93,5.61,25.95
94,7.71,34.36
95,4.94,26.61
96,5.23,24.49
97,4.28,21.26
98,0.25,4.95
99,1.08,7.97
100,0.31,3.92
101,6.36,29.2
102,3.14,14.79
103,5.09,23.12
104,9.08,38.83
105,2.49,13.04
106,4.1,21.71
107,7.56,31.37
108,2.29,12.85
109,0.77,4.47
110,2.9,14.13
111,1.61,10.53
112,9.3,40.26
113,8.08,34.24
114,6.33,27.6
115,8.71,38.52
116,8.04,34.43
117,1.87,10.7
118,8.93,38.77
119,5.39,23.91
120,8.07,37.42
121,8.96,39.47
122,3.18,13.69
123,1.1,7.59
124,2.28,11.46
125,4.27,20.93
126,8.18,34.93
127,8.61,37.33
128,0.07,3.78
129,5.11,24.31
130,4.17,18.48
131,2.22,11.55
132,1.2,7.33
133,3.38,15.87
134,9.43,42.49
135,3.23,16.32
136,5.19,22.5
137,7.03,32.04
138,3.64,19.68
139,9.72,42.91
140,9.62,39.96
141,2.52,12.6
142,4.97,24.15
143,3.01,14.33
144,2.85,14.84
145,0.37,5.25
146,6.1,26.47
147,5.03,23.06
148,0.51,1.8
149,2.79,13.14
