X,y
4.26,7.0
8.15,12.0
7.35,10.0
8.68,12.0
3.83,7.0
9.79,13.0
8.93,11.0
2.1,5.0
7.42,12.0
6.63,8.0
8.87,10.0
8.58,12.0
7.49,11.0
8.7,12.0
1.87,6.0
3.26,7.0
3.73,7.0
7.94,11.0
1.51,5.0
1.7,4.0
0.81,3.0
3.05,5.0
7.83,10.0
1.63,5.0
0.71,5.0
7.01,12.0
1.81,6.0
5.99,10.0
4.15,8.0
5.14,8.0
2.21,5.0
7.26,10.0
8.49,12.0
9.29,10.0
7.36,9.0
4.77,8.0
4.93,8.0
5.95,9.0
0.76,3.0
1.17,5.0
9.66,12.0
5.83,10.0
0.92,5.0
0.14,4.0
8.37,10.0
9.15,14.0
7.05,10.0
3.87,9.0
7.06,10.0
9.23,13.0
2.88,6.0
6.84,10.0
5.2,9.0
8.77,12.0
9.24,11.0
4.89,8.0
5.96,11.0
2.64,8.0
9.92,13.0
2.1,6.0
5.83,7.0
6.49,9.0
9.11,13.0
1.22,5.0
6.76,10.0
7.55,11.0
9.11,14.0
2.42,5.0
9.76,12.0
3.04,6.0
9.01,12.0
1.05,4.0
6.73,9.0
8.7,13.0
5.61,7.0
4.68,7.0
0.15,2.0
3.93,8.0
2.1,5.0
2.1,4.0
3.96,7.0
9.81,10.0
1.94,6.0
8.5,11.0
4.6,8.0
1.93,4.0
1.71,4.0
4.61,8.0
2.21,5.0
5.14,8.0
7.21,10.0
9.52,14.0
0.35,4.0
9.83,13.0
7.39,11.0
1.83,5.0
8.3,11.0
5.11,6.0
7.1,7.0
7.28,10.0
